Cuenta,Subcuenta,Objeto,Ordinal,TOTAL,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n,Año,Indice_base_2025,TOTAL_const
Gastos de personal,Planta de personal permanente,Salario,,119000000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,1.0,,2019,68.50103299557757,173720008000.0
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,44746000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,2.0,,2019,68.50103299557757,65321642672.0
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2338000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,3.0,,2019,68.50103299557757,3413087216.0
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,36910000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,2.0,2.0,,,2019,68.50103299557757,53882399120.0
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Foro interparlamentario para las americas - fipa (ley 1096 de 2006),11000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,2.0,2.0,7.0,2019,68.50103299557757,16058152.0
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Parlamento latinoamericano (ley 83 de 1988),41000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,2.0,2.0,8.0,2019,68.50103299557757,59853112.0
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Union interparlamentaria (ley 204 de 1995),60000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,2.0,2.0,10.0,2019,68.50103299557757,87589920.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,8545000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,3.0,1.0,999.0,2019,68.50103299557757,12474264440.0
Transferencias corrientes,Prestaciones para cubrir riesgos sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),128000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,4.0,2.0,12.0,2019,68.50103299557757,186858496.0
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,345000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,1.0,,,2019,68.50103299557757,503642040.0
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,41000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,3.0,,,2019,68.50103299557757,59853112.0
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,340000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,4.0,1.0,,2019,68.50103299557757,496342880.0
Gastos de personal,Planta de personal permanente,Salario,,183257000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,1.0,,2019,68.50103299557757,267524432824.0
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,69440000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,2.0,,2019,68.50103299557757,101370734080.0
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2176000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,3.0,,2019,68.50103299557757,3176594432.0
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,40879000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,2.0,2.0,,,2019,68.50103299557757,59676472328.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,7357000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,3.0,1.0,999.0,2019,68.50103299557757,10739984024.0
Transferencias corrientes,Prestaciones para cubrir riesgos sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),15000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,4.0,2.0,12.0,2019,68.50103299557757,21897480.0
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,171000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,3.0,,,2019,68.50103299557757,249631272.0
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,442000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,4.0,1.0,,2019,68.50103299557757,645245744.0
"Gastos por tributos, multas, sanciones e intereses de mora","Multas, sanciones e intereses de mora",,,5000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,5.0,,,2019,68.50103299557757,7299160.0
Mejoramiento de la eficiencia y la transparencia legislativa,Intersubsectorial gobierno,Desarrollo de estrategias para la generación y socialización de la información legislativa a nivel nacional,,400000000.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,101.0,1000.0,3.0,,2019,68.50103299557757,583932800.0
