Cuenta,Subcuenta,Objeto,Ordinal,TOTAL,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n,Año,Indice_base_2025,TOTAL_const
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,119000000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,01,01,01,,2019,68.50103299557757,173720008000.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,44746000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,01,01,02,,2019,68.50103299557757,65321642672.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,2338000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,01,01,03,,2019,68.50103299557757,3413087216.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIONES DIFERENTES DE ACTIVOS,,,36910000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,02,02,,,2019,68.50103299557757,53882399120.0
TRANSFERENCIAS CORRIENTES,A GOBIERNOS Y ORGANIZACIONES INTERNACIONALES,A ORGANIZACIONES INTERNACIONALES ,FORO INTERPARLAMENTARIO PARA LAS AMERICAS - FIPA (LEY 1096 DE 2006),11000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,03,02,02,007,2019,68.50103299557757,16058152.0
TRANSFERENCIAS CORRIENTES,A GOBIERNOS Y ORGANIZACIONES INTERNACIONALES,A ORGANIZACIONES INTERNACIONALES ,PARLAMENTO LATINOAMERICANO (LEY 83 DE 1988),41000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,03,02,02,008,2019,68.50103299557757,59853112.0
TRANSFERENCIAS CORRIENTES,A GOBIERNOS Y ORGANIZACIONES INTERNACIONALES,A ORGANIZACIONES INTERNACIONALES ,UNION INTERPARLAMENTARIA (LEY 204 DE 1995),60000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,03,02,02,010,2019,68.50103299557757,87589920.0
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,8545000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,03,03,01,999,2019,68.50103299557757,12474264440.0
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),128000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,03,04,02,012,2019,68.50103299557757,186858496.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,345000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,08,01,,,2019,68.50103299557757,503642040.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",TASAS Y DERECHOS ADMINISTRATIVOS,,,41000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,08,03,,,2019,68.50103299557757,59853112.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,340000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,08,04,01,,2019,68.50103299557757,496342880.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,183257000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,01,01,01,,2019,68.50103299557757,267524432824.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,69440000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,01,01,02,,2019,68.50103299557757,101370734080.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,2176000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,01,01,03,,2019,68.50103299557757,3176594432.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIONES DIFERENTES DE ACTIVOS,,,40879000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,02,02,,,2019,68.50103299557757,59676472328.0
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,7357000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,03,03,01,999,2019,68.50103299557757,10739984024.0
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),15000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,03,04,02,012,2019,68.50103299557757,21897480.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",TASAS Y DERECHOS ADMINISTRATIVOS,,,171000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,08,03,,,2019,68.50103299557757,249631272.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,442000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,08,04,01,,2019,68.50103299557757,645245744.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA","MULTAS, SANCIONES E INTERESES DE MORA",,,5000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,08,05,,,2019,68.50103299557757,7299160.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,55078471760.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,01,01,01,,2019,68.50103299557757,80405315586.34433
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,22592000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,01,01,02,,2019,68.50103299557757,32980524544.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,26594528240.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,01,01,03,,2019,68.50103299557757,38823543349.65568
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE ACTIVOS NO FINANCIEROS,,,525000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,02,01,,,2019,68.50103299557757,766411800.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIONES DIFERENTES DE ACTIVOS,,,41980947020.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,02,02,,,2019,68.50103299557757,61285129850.10064
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ,10300000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,03,03,01,051,2019,68.50103299557757,15036269600.0
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,PLAN DE PROMOCIÓN DE COLOMBIA EN EL EXTERIOR,1126000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,03,03,01,052,2019,68.50103299557757,1643770832.0
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,"TRANSFERENCIAS PARA LA ESTRATEGIA DE INTERACCIÓN Y DIÁLOGO PERMANENTE ENTRE LAS AUTORIDADES DE ORDEN TERRITORIAL, GOBIERNO NACIONAL Y LOS CIUDADANOS",7000000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,03,03,01,077,2019,68.50103299557757,10218824000.0
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,1797052980.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,03,03,01,999,2019,68.50103299557757,2623395445.89936
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,FALLOS NACIONALES,SENTENCIAS,886000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,03,10,01,001,2019,68.50103299557757,1293411152.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,208000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,08,01,,,2019,68.50103299557757,303645056.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",TASAS Y DERECHOS ADMINISTRATIVOS,,,64000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,08,03,,,2019,68.50103299557757,93429248.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,436000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,08,04,01,,2019,68.50103299557757,636486752.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CONTRIBUCIÓN NACIONAL DE VALORIZACIÓN,,37000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,08,04,03,,2019,68.50103299557757,54013784.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,6486000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,01,01,01,,2019,68.50103299557757,9468470352.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,2492000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,01,01,02,,2019,68.50103299557757,3637901344.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,665000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,01,01,03,,2019,68.50103299557757,970788280.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIONES DIFERENTES DE ACTIVOS,,,3824000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,02,02,,,2019,68.50103299557757,5582397568.0
TRANSFERENCIAS CORRIENTES,A GOBIERNOS Y ORGANIZACIONES INTERNACIONALES,A ORGANIZACIONES INTERNACIONALES ,FONDO DE COOPERACIÓN Y ASISTENCIA INTERNACIONAL  (LEY 318 DE 1996),14869000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,03,02,02,137,2019,68.50103299557757,21706242008.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,1000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,08,01,,,2019,68.50103299557757,1459832.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,78000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,08,04,01,,2019,68.50103299557757,113866896.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,6407000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,01,01,01,,2019,68.50103299557757,9353143624.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,2210000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,01,01,02,,2019,68.50103299557757,3226228720.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,307000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,01,01,03,,2019,68.50103299557757,448168424.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE ACTIVOS NO FINANCIEROS,,,387000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,02,01,,,2019,68.50103299557757,564954984.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIONES DIFERENTES DE ACTIVOS,,,3166000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,02,02,,,2019,68.50103299557757,4621828112.0
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,1307000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,03,03,01,999,2019,68.50103299557757,1908000424.0
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A OTRAS ENTIDADES DEL GOBIERNO GENERAL,ATENCIÓN DE DESASTRES Y EMERGENCIAS EN EL TERRITORIO NACIONAL -FONDO NACIONAL DE GESTIÓN DEL RIESGO DE DESASTRES,42100000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,03,03,04,013,2019,68.50103299557757,61458927200.0
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,FALLOS NACIONALES,SENTENCIAS,132000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,03,10,01,001,2019,68.50103299557757,192697824.0
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,FALLOS NACIONALES,CONCILIACIONES,132000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,03,10,01,002,2019,68.50103299557757,192697824.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,7000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,08,01,,,2019,68.50103299557757,10218824.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,169000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,08,04,01,,2019,68.50103299557757,246711608.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,24103002000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,01,01,01,,2019,68.50103299557757,35186333615.664
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,8511623000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,01,01,02,,2019,68.50103299557757,12425539627.336
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,834955000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,01,01,03,,2019,68.50103299557757,1218894027.56
