TOTAL,Código de unidad,Código de entidad,Código de sector,Unidad,Sector,Entidad,Cuenta,Cuenta_n,Subcuenta,Subcuenta_n,Objeto,Objeto_n,Ordinal,Ordinal_n,Tipo de gasto
211155435277.0,10101,101,1,SENADO DE LA REPUBLICA,Congreso de la república,Congreso de la república,GASTOS DE PERSONAL,01,PLANTA DE PERSONAL PERMANENTE,01,SALARIO,01,,,Funcionamiento
79350205136.0,10101,101,1,SENADO DE LA REPUBLICA,Congreso de la república,Congreso de la república,GASTOS DE PERSONAL,01,PLANTA DE PERSONAL PERMANENTE,01,CONTRIBUCIONES INHERENTES A LA NÓMINA,02,,,Funcionamiento
14618980034.0,10101,101,1,SENADO DE LA REPUBLICA,Congreso de la república,Congreso de la república,GASTOS DE PERSONAL,01,PLANTA DE PERSONAL PERMANENTE,01,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,03,,,Funcionamiento
124309756253.0,10101,101,1,SENADO DE LA REPUBLICA,Congreso de la república,Congreso de la república,ADQUISICIÓN DE BIENES  Y SERVICIOS,02,,,,,,,Funcionamiento
525755100.0,10101,101,1,SENADO DE LA REPUBLICA,Congreso de la república,Congreso de la república,TRANSFERENCIAS CORRIENTES,03,A GOBIERNOS Y ORGANIZACIONES INTERNACIONALES,02,A ORGANIZACIONES INTERNACIONALES ,02,,,Funcionamiento
10000000000.0,10101,101,1,SENADO DE LA REPUBLICA,Congreso de la república,Congreso de la república,TRANSFERENCIAS CORRIENTES,03,A ENTIDADES DEL GOBIERNO,03,A ÓRGANOS DEL PGN,01,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,999,Funcionamiento
300000000.0,10101,101,1,SENADO DE LA REPUBLICA,Congreso de la república,Congreso de la república,TRANSFERENCIAS CORRIENTES,03,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,04,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,02,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),012,Funcionamiento
325000000.0,10101,101,1,SENADO DE LA REPUBLICA,Congreso de la república,Congreso de la república,TRANSFERENCIAS CORRIENTES,03,SENTENCIAS Y CONCILIACIONES,10,,,,,Funcionamiento
389340000.0,10101,101,1,SENADO DE LA REPUBLICA,Congreso de la república,Congreso de la república,"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",08,IMPUESTOS ,01,,,,,Funcionamiento
980000000.0,10101,101,1,SENADO DE LA REPUBLICA,Congreso de la república,Congreso de la república,"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",08,CONTRIBUCIONES,04,CUOTA DE FISCALIZACIÓN Y AUDITAJE,01,,,Funcionamiento
