Cuenta,Subcuenta,Objeto,Ordinal,Aporte nacional,Recursos propios,TOTAL,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n,Año,Indice_base_2025,apropiaciones_constantes_2025
Gastos de personal,Planta de personal permanente,Salario,,119000000000.0,,119000000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,1.0,,2019,68.50103299557757,1737200080.0
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,44746000000.0,,44746000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,2.0,,2019,68.50103299557757,653216426.72
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2338000000.0,,2338000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,3.0,,2019,68.50103299557757,34130872.16
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,36910000000.0,,36910000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,2.0,2.0,,,2019,68.50103299557757,538823991.2
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Foro interparlamentario para las americas - fipa (ley 1096 de 2006),11000000.0,,11000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,2.0,2.0,7.0,2019,68.50103299557757,160581.52
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Parlamento latinoamericano (ley 83 de 1988),41000000.0,,41000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,2.0,2.0,8.0,2019,68.50103299557757,598531.12
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Union interparlamentaria (ley 204 de 1995),60000000.0,,60000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,2.0,2.0,10.0,2019,68.50103299557757,875899.2
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,8545000000.0,,8545000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,3.0,1.0,999.0,2019,68.50103299557757,124742644.39999999
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),128000000.0,,128000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,4.0,2.0,12.0,2019,68.50103299557757,1868584.96
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,345000000.0,,345000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,1.0,,,2019,68.50103299557757,5036420.4
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,41000000.0,,41000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,3.0,,,2019,68.50103299557757,598531.12
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,340000000.0,,340000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,4.0,1.0,,2019,68.50103299557757,4963428.8
Gastos de personal,Planta de personal permanente,Salario,,183257000000.0,,183257000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,1.0,,2019,68.50103299557757,2675244328.24
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,69440000000.0,,69440000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,2.0,,2019,68.50103299557757,1013707340.8
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2176000000.0,,2176000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,3.0,,2019,68.50103299557757,31765944.32
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,40879000000.0,,40879000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,2.0,2.0,,,2019,68.50103299557757,596764723.28
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,7357000000.0,,7357000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,3.0,1.0,999.0,2019,68.50103299557757,107399840.24
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),15000000.0,,15000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,4.0,2.0,12.0,2019,68.50103299557757,218974.8
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,171000000.0,,171000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,3.0,,,2019,68.50103299557757,2496312.7199999997
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,442000000.0,,442000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,4.0,1.0,,2019,68.50103299557757,6452457.4399999995
"Gastos por tributos, multas, sanciones e intereses de mora","Multas, sanciones e intereses de mora",,,5000000.0,,5000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,5.0,,,2019,68.50103299557757,72991.6
Mejoramiento de la eficiencia y la transparencia legislativa,Intersubsectorial gobierno,Desarrollo de estrategias para la generación y socialización de la información legislativa a nivel nacional,,400000000.0,,400000000.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,101.0,1000.0,3.0,,2019,68.50103299557757,5839328.0
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y oportunidad en los desplazamientos de los servidores públicos del senado de la república  nacional,,24642507501.0,,24642507501.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,6.0,,2019,68.50103299557757,359739210.1019983
